order_id,customer_id,order_date,product_category,quantity,unit_price,discount_percent,customer_age,customer_city,delivery_days,rating,is_returned
1000,103,2023-04-28,Clothing,6,467.91,25,60.0,Kazan,5.0,1,No
1001,349,2023-10-21,Home,7,191.02,25,45.0,Moscow,14.0,3,No
1002,271,2023-06-08,Clothing,5,355.52,20,45.0,Moscow,11.0,5,No
1003,107,2023-10-30,Electronics,7,240.47,5,25.0,Ekaterinburg,4.0,1,No
1004,72,2023-08-16,Books,1,338.83,10,40.0,Moscow,8.0,3,No
1005,189,2023-12-31,Clothing,1,382.63,10,46.0,Kazan,4.0,4,No
1006,21,2023-08-04,Home,9,27.5,20,22.0,Kazan,11.0,5,No
1007,103,2023-07-03,Home,5,325.07,5,59.0,Kazan,12.0,4,No
1008,122,2023-01-15,Clothing,5,117.24,0,24.0,SPb,8.0,1,No
1009,215,2023-06-06,Home,3,336.67,0,59.0,Kazan,6.0,5,No
1010,331,2023-05-16,Sports,5,236.82,0,53.0,Kazan,14.0,3,No
1011,88,2023-09-18,Sports,3,387.91,10,58.0,SPb,12.0,1,No
1012,373,2023-06-06,Sports,9,66.08,5,44.0,,,5,No
1013,100,2023-02-16,Electronics,9,315.03,5,63.0,MOSCOW,5.0,5,No
1014,360,2023-11-20,Clothing,6,142.84,10,19.0,Novosibirsk,4.0,4,No
1015,152,2023-11-28,Electronics,1,427.23,0,42.0,Moscow,4.0,1,Yes
1016,131,2023-06-22,Home,7,464.55,0,26.0,,12.0,3,No
1017,150,2023-05-10,Electronics,7,498.22,20,70.0,Moscow,4.0,3,No
1018,309,2023-04-05,Home,4,399.02,25,44.0,Ekaterinburg,11.0,1,No
1019,258,2023-04-25,Home,8,378.1,15,18.0,Moscow,13.0,1,Yes
1020,344,2023-08-31,Books,6,111.67,25,40.0,spb,13.0,2,No
1021,294,2023-10-19,Sports,4,171.32,5,27.0,Moscow ,9.0,4,No
1022,386,2023-10-09,Home,4,235.51,5,59.0,MOSCOW,4.0,1,No
1023,192,2023-10-26,Books,2,387.82,5,69.0,SPb,12.0,1,No
1024,277,2023-10-10,Sports,2,457.91,25,42.0,,9.0,2,No
1025,161,2023-03-10,Home,4,98.62,15,71.0,Moscow,13.0,2,No
1026,314,2023-05-28,Home,5,461.57,20,20.0,Moscow,10.0,,No
1027,22,2023-01-11,Electronics,8,349.33,25,23.0,Novosibirsk,6.0,,No
